Key,english
goGameWorld,[FF4F00]Select 'Spencer Mansion Incident'[-]
goDifficultyRE,[FF4F00]Difficulty (Read me)[-]
goDifficultyREDesc,D : Enemy HP: 85%. Player Damage Taken: 80%.\nFind 20% more ammo.\n\nC : Enemy HP: 100%. Player Damage Taken: 100%.\n\nB : Enemy HP: 125%. Player Damage Taken: 150%.\n\nA : Enemy HP: 150%. Player Damage Taken: 200%.\n\nS : Enemy HP: 175%. Player Damage Taken: 250%.\nFind 20% less ammo.\n\nS+ : Enemy HP: 200%. Player Damage Taken: 300%.\nFind 40% less ammo.
goDifficulty1RE,D
goDifficulty2RE,C
goDifficulty3RE,B
goDifficulty4RE,A
goDifficulty5RE,S
goDifficulty6RE,S+
goDayLengthREDesc," "
goDayLengthRE,[FF4F00]Select '120 Minutes'[-]
goDayLightLengthREDesc," "
goDayLightLengthRE,[FF4F00]Select '0'[-]
goBloodMoonFrequencyREDesc," "
goBloodMoonFrequencyRE,[FF4F00]Select 'Disabled'[-]
goXPMultiplierRE,[FF4F00]Select '100%'[-]
goBlockDamagePlayerRE,[FF4F00]Select '100%'[-]
goBlockDamageAIRE,[FF4F00]Select '100%'[-]
goLootAbundanceRE,[FF4F00]Select '100%'[-]
goLootRespawnDaysREDesc," "
goLootRespawnDaysRE,[FF4F00]Select 'Disabled'[-]
goAirDropFrequencyREDesc," "
goAirDropFrequencyRE,[FF4F00]Select 'Disabled'[-]
goZombieMoveNightREDesc,"This affects the movement speed of generic zombies."
goZombieMoveNightRE,[FF4F00]Zombie Night Speed (Always Night)[-]
Spencer Mansion Incident,Spencer Mansion Incident
SpencerMansionSpawnText_title,Welcome To The Spencer Mansion Incident
loadingTipRE1,You're trapped inside Spencer Mansion. Healing supplies and ammunition are in short supply. Can you escape with your life? Or become a Jill Sandwich?
loadingTipRE1_title,Welcome to Resident Evil!
loadingTipRE2,"Sometimes, it's better to not kill everything in your path."
loadingTipRE2_title,"Kill or keep alive:"
loadingTipRE3,Just like in Resident Evil your inventory will be limited (10 slots). You'll have to pick and choose what you take with you.
loadingTipRE3_title,Inventory:
loadingTipRE4,Doors are your main defence in the Spencer Mansion. Closing doors will slow zombies from catching up to you.
loadingTipRE4_title,Doors:
loadingTipRE5,"Nitrate can be harvested from zombie animals, gardens and mutated wood.\nCoal can be harvested from burnt trees."
loadingTipRE5_title,Nitrate and Coal:
loadingTipRE6,"Zombies don't feel pain, just like in Resident Evil, so they won't even flinch when attacked."
loadingTipRE6_title,Zombies Feel No Pain:
loadingTipRE7,"This devastating weapon can easily take off legs (Shells) and blow off heads (Slugs)."
loadingTipRE7_title,The Pump Shotgun:
loadingTipRE8,"A huge thank you to the following people: Mythix, AuroraGiggleFairy, w00kie n00kie, RambunctiousRed, HellsJanitor, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake, Zilox, Redbeard, idc12, Pyrokar420, ocbMaurice, NORDMANN, Closer_ex, M14's ZettaiRyouiki, ChoccyMilk."
loadingTipRE8_title,Special Thanks!
SpencerMansionSpawnText,"You're about to experience the Spencer Mansion Incident in a first person perspective.\n\nTo keep the experience true to Resident Evil, please note the following.\n1) You have limited inventory space of 10 slots. There are Item Storage Boxes to store your items.\n2) You cannot jump.\n3) Most enemies don't feel pain, so fighting them will be different to what you're used to.\n4) Ink Ribbons are needed to save your progress! (Found in typewriters)\n\n[FFC800]For an immersive experience, I'd recommend turning up your ambient sound volume and your music to play all the time.[-]\n\n[FFC800]For the intended experience, be sure to remove any non-related mods.[-]\n\n[4FC3F7]To get started, read your blue buffs![-]"
Mod Not Installed Correctly,[FF4F00]Mod Not Installed Correctly[-]
ModNotInstalledCorrectlyText,"[FF4F00]This mod hasn't been installed correctly and is missing critical files required for the mod to be 100% functional.[-]"
TwitchAction_SpawnCrawlerCommand,#crawler
TwitchAction_SpawnToughCommand,#spawn_tough
TwitchAction_SpawnSnakeCommand,#snake
TwitchAction_SpawnSpiderCommand,#web_spinner
TwitchAction_SpawnDogCommand,#cerberus
TwitchAction_SpawnCrimsonHeadCommand,#crimson_head
TwitchAction_SpawnForestSpeyerCommand,#forest_speyer
TwitchAction_SpawnHunterCommand,#hunter
TwitchAction_SpawncrimsonPrototypeCommand,#crimson_prototype
TwitchAction_SupplyAmmo9mmCommand,#handgun_x8
TwitchAction_SupplyGreenHerbCommand,#green_herb
TwitchAction_SupplyRedHerbCommand,#red_herb
TwitchAction_SupplyBlueHerbCommand,#blue_herb
TwitchAction_SupplyAmmoShellsCommand,#shotgun_x2
TwitchAction_SupplyAmmo44MagCommand,#magnum_x2
TwitchAction_SupplyAmmoRocketCommand,#rocket
TwitchAction_SupplyAmmoGrenadeCommand,#grenade
TwitchAction_SupplyAmmoMolotovCommand,#molotov
TwitchAction_SupplyFirstAidSprayCommand,#firstaidspray
TwitchAction_SupplyAmmo762Command,#rifle_x12
buffNewbieCoatNameRE,General Information for The Spencer Mansion Incident
buffNewbieCoatDescRE,"The Spencer Mansion Incident will give you a unique 7 Days to Die experience like no other mod.\nHere's some information to help you settle in.\n\nThere are no critical injuries, so you don't have to worry about bleeding out, knowing this you can focus on making the most of the limited healing supplies available.\n\nBe mindful of your inventory, don't try to gather herbs or ammo when full, as they will drop on the floor and go to waste.\n\nYou don't have to worry about food and water here, they'll always remain full. However, getting set on fire will make you thirsty. If you become completely dehydrated, then you'll have to drink from a water source and risk getting sick.\n\nZombies can open doors, so never assume you're safe!"

tooltipJammed,([DECEA3]Jammed[-])
tooltipLocked,{1}
tooltipUnlocked,{1}
useBlock,{1}
harvestTip,Use your knife to skin zombie animals for nitrate.\nNitrate is used for gunpowder crafting.
cntCashRegister,Typewriter
TheVault,Item Storage Box
AmmoChest,Ammo Crafting Bundle\n(Hit to Pickup)
ReloadingTool,Reloading Tool
Reloading_Tooldesc,"A useful tool that you can make ammunition with.\n\nAllows you to dismantle Ammo in the field.\n\nMake sure your have enough empty inventory slots when crafting."
InkRibbon,Ink Ribbon
