Key,german
goGameWorld,[FF4F00]Wähle 'Spencer Mansion Incident'[-]
goDifficultyRE,[FF4F00]Schwierigkeitsgrad (Bitte lesen)[-]
goDifficultyREDesc,D : Feind HP: 85%. Spielerschaden: 80%.\nFinde 20% mehr Muni.\n\nC : Feind HP: 100%. Spielerschaden: 100%.\n\nB : Feind HP: 125%. Spielerschaden: 150%.\n\nA : Feind HP: 150%. Spielerschaden: 200%.\n\nS : Feind HP: 175%. Spielerschaden: 250%.\nFinde 20% weniger Muni.\n\nS+ : Feind HP: 200%. Spielerschaden: 300%.\nFinde 40% weniger Muni.
goDifficulty1RE,D
goDifficulty2RE,C
goDifficulty3RE,B
goDifficulty4RE,A
goDifficulty5RE,S
goDifficulty6RE,S+
goDayLengthREDesc," "
goDayLengthRE,[FF4F00]Wähle '120 Minuten'[-]
goDayLightLengthREDesc," "
goDayLightLengthRE,[FF4F00]Wähle '0'[-]
goBloodMoonFrequencyREDesc," "
goBloodMoonFrequencyRE,[FF4F00]Wähle 'Deaktiviert'[-]
goXPMultiplierRE,[FF4F00]Wähle '100%'[-]
goBlockDamagePlayerRE,[FF4F00]Wähle '100%'[-]
goBlockDamageAIRE,[FF4F00]Wähle '100%'[-]
goLootAbundanceRE,[FF4F00]Wähle '100%'[-]
goLootRespawnDaysREDesc," "
goLootRespawnDaysRE,[FF4F00]Wähle 'Deaktiviert'[-]
goAirDropFrequencyREDesc," "
goAirDropFrequencyRE,[FF4F00]Wähle 'Deaktiviert'[-]
goZombieMoveNightREDesc,"Dies wirkt sich auf die Bewegungsgeschwindigkeit der generischen Zombies aus."
goZombieMoveNightRE,[FF4F00]Zombie-Nacht-Geschwindigkeit [-]
Spencer Mansion Incident,Spencer Mansion Vorfall
SpencerMansionSpawnText_title,Willkommen in dem Spencer Mansion Vorfall
loadingTipRE1,Du bist im Inneren der Spencer Mansion gefangen. Heilmittel und Munition sind Mangelware. Kannst du mit deinem Leben davonkommen? Oder wirst du zum Jill-Eintopf?
loadingTipRE1_title,Willkommen bei Resident Evil!
loadingTipRE2,"Manchmal ist es besser, nicht alles zu zerstören, was einem im Weg steht."
loadingTipRE2_title,"Zerstören oder heile lassen:"
loadingTipRE3,"Genau wie in Resident Evil wird dein Inventar begrenzt sein (10 Slots). Du musst dir gut überlegen, was du mitnimmst."
loadingTipRE3_title,Inventar:
loadingTipRE4,"Türen sind der wichtigste Schutz in der Spencer Mansion. Das Schließen von Türen verlangsamt die Zombies und verhindert, dass Zombies dich einholen."
loadingTipRE4_title,Türen:
loadingTipRE5,"Nitrat kann aus Zombie-Tieren, Gärten und mutiertem Holz gewonnen werden.\nKohle kann aus verbrannten Bäumen gewonnen werden."
loadingTipRE5_title,Nitrat und Kohle:
loadingTipRE6,"Genau wie in Resident Evil, also zucken sie nicht einmal, wenn sie angegriffen werden."
loadingTipRE6_title,Zombies fühlen keinen Schmerz:
loadingTipRE7,"Diese starke Waffe kann leicht Beine abtrennen (Kugeln) und Köpfe zum platzen bringen (Geschosse)."
loadingTipRE7_title,Die Schrottflite:
loadingTipRE8,"Ein großes Dankeschön an die folgenden Personen: Mythix, AuroraGiggleFairy, w00kie n00kie, RambunctiousRed, HellsJanitor, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake, Zilox, Redbeard, idc12, Pyrokar420, ocbMaurice, NORDMANN, Closer_ex, M14's ZettaiRyouiki, ChoccyMilk."
loadingTipRE8_title,Besonderen Dank!
SpencerMansionSpawnText,"Du wirst den Vorfall in der Spencer-Manison aus der Ich-Perspektive erleben.\n\nUm das Erlebnis von Resident Evil beizubehalten, beachte bitte die folgenden Punkte.\n1) Du hast einen begrenzten Inventarplatz von 10 Slots. Es gibt Lagerkisten, in denen du deine Gegenstände aufbewahren kannst.\n2) Du kannst nicht springen.\n3) Die meisten Feinde empfinden keinen Schmerz, also wird der Kampf gegen sie anders sein,\nals du es gewohnt bist.\n4) Farbbänder werden benötigt, um deinen Fortschritt zu sichern! (Zu finden in den Schreibmaschinen)\n\n[FFC800]Für ein intensives Erlebnis empfehle ich, die Lautstärke der Umgebungsgeräusche und der Musik auf Max.[-]\n\n[FFC800]Um die gewünschte Erfahrung zu machen, solltest du alle anderen Mods entfernen.[-]\n\n[4FC3F7]Bitte lies zunächst deine blauen Buffs![-]"
Mod Not Installed Correctly,[FF4F00]Mod wurde nicht korrekt installiert[-]
ModNotInstalledCorrectlyText,"[FF4F00]Diese Mod wurde nicht korrekt installiert und es fehlen wichtige Dateien, die für eine 100%ige Funktion dieser Mod erforderlich sind.[-]"
TwitchAction_SpawnCrawlerCommand,#crawler
TwitchAction_SpawnToughCommand,#spawn_tough
TwitchAction_SpawnSnakeCommand,#snake
TwitchAction_SpawnSpiderCommand,#web_spinner
TwitchAction_SpawnDogCommand,#cerberus
TwitchAction_SpawnCrimsonHeadCommand,#crimson_head
TwitchAction_SpawnForestSpeyerCommand,#forest_speyer
TwitchAction_SpawnHunterCommand,#hunter
TwitchAction_SpawncrimsonPrototypeCommand,#crimson_prototype
TwitchAction_SupplyAmmo9mmCommand,#handgun_x8
TwitchAction_SupplyGreenHerbCommand,#green_herb
TwitchAction_SupplyRedHerbCommand,#red_herb
TwitchAction_SupplyBlueHerbCommand,#blue_herb
TwitchAction_SupplyAmmoShellsCommand,#shotgun_x2
TwitchAction_SupplyAmmo44MagCommand,#magnum_x2
TwitchAction_SupplyAmmoRocketCommand,#rocket
TwitchAction_SupplyAmmoGrenadeCommand,#grenade
TwitchAction_SupplyAmmoMolotovCommand,#molotov
TwitchAction_SupplyFirstAidSprayCommand,#firstaidspray
TwitchAction_SupplyAmmo762Command,#rifle_x12
buffNewbieCoatNameRE,Allgemeine Informationen zu dem Spencer Mansion Vorfall
buffNewbieCoatDescRE,"Der Spencer Mansion Vorfall bietet dir ein einzigartiges 7 Days to Die-Erlebnis wie keine andere Mod.\nHier einige Informationen, die dir die Eingewöhnung erleichtern.\n\nDa es keine kritischen Verletzungen gibt, musst du dir keine Sorgen machen, dass du verblutest und kannst dich darauf konzentrieren, dass Beste aus den begrenzten Heilungsvorräten zu machen.\n\nAchte auf dein Inventar, versuche nicht Kräuter oder Munition zu sammeln, wenn dein Inventar voll ist, da sie auf den Boden fallen und verschwinden werden.\n\nDu musst dir keine Sorgen um Nahrung und Wasser machen. Wenn du jedoch in Brand gesetzt wirst, wirst du durstig. Wenn du völlig dehydriert bist, musst du von einer Wasserquelle trinken und riskierst krank zu werden.\n\nZombies können Türen öffnen, also gehe nie davon aus, dass du in Sicherheit bist!"
xuiInventory,Jill Valentine's Inventar
tooltipJammed,([DECEA3]Blockiert[-])
tooltipLocked,{1}
tooltipUnlocked,{1}
useBlock,{1}
harvestTip,Benutze dein Messer, um Zombie-Tiere zu häuten und Nitrat zu farmen.\nNitrat wird zur Herstellung von Schießpulver verwendet.
cntCashRegister,Schreibmaschine 
TheVault,Item Aufbewahrungskiste
AmmoChest,Munibündel\n(Schlagen zum Aufheben) 
ReloadingTool,Muni-Werkzeug
Reloading_Tooldesc,"Ein nützliches Werkzeug, mit dem du Muni herstellen kannst.\n\nEs ermöglicht auch, Muni zu zerlegen.\n\nStell sicher, dass du beim Herstellen genügend leere Inventarplätze hast."
InkRibbon,Farbband
InkRibbondesc,"Derzeit nutzlos, wird aber benötigt, um Ihren Fortschritt zu speichern, wenn das manuelle Speichern implementiert ist.\n\nBehalte es vorerst."
DeathMaskDesc,Diese Todesmaske wird an der Tür des Bösen verwendet.
MansionBattery,Damit wird die Tür im Innenhof mit Strom versorgt.
Green_Herb,Grünes Kraut
GreenHerbDesc,"Heilt dich leicht.\n\nHeilt 160 HP über 2 Sekunden.\n\nMedizinisches Wissen: Heilt 216 HP über 2 Sekunden."
Red_Herb,Rotes Kraut
RedHerbdesc,"Verstärkt die Wirkung von grünen Kraut.\n\nKann nicht allein verwendet werden."
MixedGreenHerbDesc,"Heilt dich mäßig.\n\nHeilt 400 HP über 5 Sekunden.\n\nMedizinisches Wissen: Heilt 540 HP über 5 Sekunden."
Green+RedHerbDesc,"Heilt dich erheblich.\n\nHeilt 720 HP über 9 Sekunden.\n\nMedizinisches Wissen: Heilt 972 HP über 9 Sekunden."
Blue_Herb,Blaues Kraut
BlueHerbDesc,"Heilt Gift und heilt dich leicht.\n\nHeilt 80 HP über 1 Sekunde.\n\nMedizinisches Wissen:Heilt 108 HP über 1 Sekunde."
Yellow_Herb,Gelbes Kraut
YellowHerbDesc,"Das gelbe Kraut ist unglaublich selten und hat wundersame Eigenschaften, die die Konstitution derer stärken, die es konsumieren. (Nur einmalig)\n\nMaximale Gesundheit +600.\nDeine Gesundheit erholt sich auf natürliche Weise alle 12 Sekunden um 1.\n\n(Stapelt sich mit Schmerztoleranz und passiver Heilung)"
Green+BlueHerbDesc,"Heilt Gift und heilt dich leicht.\n\nHeilt 240 HP über 3 Sekunden.\n\nMedizinisches Wissen: Heilt 324 HP über 3 Sekunden."
Green2+BlueHerbDesc,"Heilt Gift und heilt dich mäßig.\n\nHeilt 480 HP über 6 Sekunden.\n\nMedizinisches Wissen: Heilt 648 HP über 6 Sekunden."
Green+Red+BlueHerbDesc,"Heilt Gift und heilt dich erheblich.\n\nHeilt 800 HP über 10 Sekunden.\n\nMedizinisches Wissen:Heilt 1080 HP über 10 Sekunden.\n\nSchutz: Diese wundersame Kräutermischung reduziert Schaden für 120 Sekunden um 30%."
FirstAidSprayDesc,"Heilt 1600 HP über 20 Sekunden.\n\nMedizinisches Wissen: Heilt 2160 HP über 20 Sekunden."
WolfBookdesc,Ein blau gefärbtes Buch über einen Wolf.
WolfMedaldesc,Die Medaille des Wolfes.
EagleBookdesc,Ein rot gefärbtes Buch über einen Adler.
EagleMedaldesc,Die Medaille des Adlers.
BookofCurses,Das Buch der Flüche
BookOfCursesdesc,"Ein gruselig aussehendes Buch, das du auf dem Boden im 3. Stock gefunden hast."
DogWhistle,Hundepfeife
DogWhistledesc,"Eine Pfeife, die verwendet wird, um die Aufmerksamkeit von Hunden zu erregen."
DogCollar,Hundehalsband
DogCollardesc,Hat dieses Halsband eine Bedeutung?
Coin,Münze
Coindesc,"Eine Münze, die im Hundehalsband gefunden wurde."
Lighter,Feuerzeug ([4FC3F7]Lichtquelle[-])
Lighterdesc,"Kann als kleine Lichtquelle verwendet werden.\n\nDu wirst es bei dir haben müssen, um Molotovs anzuzünden."
EmptyBaseBottledesc,"Stelle erst die richtige Flasche her, bevor du Sie abfüllst."
