Key,japanese
goGameWorld,[FF4F00]選択 'Spencer Mansion Incident'[-]
goDifficultyRE,[FF4F00]難易度(お読みください)[-]
goDifficultyREDesc,D : 敵のHP: 85% 敵の攻撃: 80%\n20% 多くの弾薬を見つけてください。\n\nC : 敵のHP: 100% 敵の攻撃: 100%。\n\nB : 敵のHP: 125% 敵の攻撃: 150%。\n\nA : 敵のHP: 150% 敵の攻撃: 200%.\n\nS : 敵のHP: 175%敵の攻撃: 250%。\n弾薬が 20% 減ります。\n\nS+ : 敵のHP: 200% 敵の攻撃: 300%.\n弾薬が 40% 減ります。
goDifficulty1RE,D
goDifficulty2RE,C
goDifficulty3RE,B
goDifficulty4RE,A
goDifficulty5RE,S
goDifficulty6RE,S+
goDayLengthRE,[FF4F00]選択 120分[-]
goDayLengthREDesc," "
goDayLightLengthRE,[FF4F00]選択 0[-]
goDayLightLengthREDesc," "
goBloodMoonFrequencyRE,[FF4F00]選択 0[-]
goBloodMoonFrequencyREDesc," "
goXPMultiplierRE,[FF4F00]選択 100%[-]
goXPMultiplierREDesc,プレイヤーが受け取る経験値の量を増やします。　このModでは、100%をお選びください。
goBlockDamagePlayerRE,[FF4F00]選択 100%[-]
goBlockDamagePlayerREDesc,プレイヤーによるブロックへのダメージを調整します。　このModでは、100%をお選びください。
goBlockDamageAIRE,[FF4F00]選択 100%[-]
goBlockDamageAIREDesc,AIによるブロックへのダメージを調整します。　このModでは、100%をお選びください。
goLootAbundanceRE,[FF4F00]選択 100%[-]
goLootAbundanceREDesc,コンテナおよびゾンビのドロップにより現れる略奪品の割合です。　このModでは、100%をお選びください。
goLootRespawnDaysRE,[FF4F00]選択 0日[-]
goLootRespawnDaysREDesc," "
goAirDropFrequencyRE,[FF4F00]選択 0日[-]
goAirDropFrequencyREDesc," "
goZombieMoveNightREDesc,"これは一般的なゾンビの移動速度に影響します。"
goZombieMoveNightRE,[FF4F00]夜間のゾンビ移動速度\n(常時夜)[-]
Spencer Mansion Incident,スペンサー邸事件
SpencerMansionSpawnText_title,スペンサー邸チャレンジへようこそ (スペンサー邸事件へようこそ)
loadingTipRE1,あなたはスペンサー邸に閉じ込められてしまいました。\n弾薬や回復アイテムは限られています。\n無事生きて脱出できるのでしょうか？　それとも、ジル・サンドイッチになってしまうのでしょうか？
loadingTipRE1_title,バイオハザードへようこそ！
loadingTipRE2,"場合によっては、途中にあるものをすべて殺さない方がよい場合もあります。"
loadingTipRE2_title,"殺すか生かしておくか："
loadingTipRE3,本家と同じように、あなたが所持出来るアイテムは10スロットまでとなるため、入手するアイテムを厳選する必要があります。
loadingTipRE3_title,所持品：
loadingTipRE4,ドアはスペンサー邸の主な防御です。ドアを閉めるとゾンビが追いついてくるのが遅くなります。
loadingTipRE4_title,ドア：
loadingTipRE5,"動物の骨や皮は忘れず入手しましょう。\nジャイロコプターをクラフトする際に必要になります。"
loadingTipRE5_title,骨や皮：
loadingTipRE6,"本家と同じように、ゾンビは痛みを感じません。\n攻撃を受けても、痛みを感じる動作をまったくしません。"
loadingTipRE6_title,ゾンビは痛みを感じない：
loadingTipRE7,"この破壊的な武器は、足 (貝殻) を簡単に剥がし、頭を吹き飛ばす (ナメクジ) ことができます。"
loadingTipRE7_title,ポンプショットガン:
loadingTipRE8,"次の方達に大きな感謝： Mythix,AuroraGiggleFairy, wOOkie nOOkie, RambunctiousRed, HellsJanitor, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake, Zilox, Redbeard, idc12, Pyrokar420, ocbMaurice, Nordmann, Closer_ex, M14's ZettaiRyouiki, ChoccyMilk."
loadingTipRE8_title,スペシャルサンクス！
loadingTipRE9,"どこかにライターがあり、それが暗闇の中で物を見るのに役立つ唯一の光源です。"
loadingTipRE9_title,暗い領域:
